"","X","iteration","F","G","type","err"
"1",1,1,"normal","X1","ols_global",0.0424008953864435
"2",2,1,"normal","X1","Huber_global",0.0289581643556844
"3",3,1,"normal","X1","Huber_distr_dc",0.0292491453050425
"4",4,1,"normal","sum(X)","ols_global",0.231081149153112
"5",5,1,"normal","sum(X)","Huber_global",0.0251216991528984
"6",6,1,"normal","sum(X)","Huber_distr_dc",0.0251701276756876
"7",7,1,"normal","unif[-|y0|,|y0|]","ols_global",0.0620324906012646
"8",8,1,"normal","unif[-|y0|,|y0|]","Huber_global",0.0303556797493672
"9",9,1,"normal","unif[-|y0|,|y0|]","Huber_distr_dc",0.0306005932210429
"10",10,1,"normal","sgn(y0)*F","ols_global",0.0371637604529103
"11",11,1,"normal","sgn(y0)*F","Huber_global",0.0227144048779015
"12",12,1,"normal","sgn(y0)*F","Huber_distr_dc",0.022655503895695
"13",13,1,"t","X1","ols_global",0.280640561870377
"14",14,1,"t","X1","Huber_global",0.040547642524874
"15",15,1,"t","X1","Huber_distr_dc",0.0403456268695117
"16",16,1,"t","sum(X)","ols_global",0.448849578689049
"17",17,1,"t","sum(X)","Huber_global",0.0366878676890997
"18",18,1,"t","sum(X)","Huber_distr_dc",0.0365165760541132
"19",19,1,"t","unif[-|y0|,|y0|]","ols_global",0.207384550666969
"20",20,1,"t","unif[-|y0|,|y0|]","Huber_global",0.0305688007922297
"21",21,1,"t","unif[-|y0|,|y0|]","Huber_distr_dc",0.0306527778065209
"22",22,1,"t","sgn(y0)*F","ols_global",0.246059533997028
"23",23,1,"t","sgn(y0)*F","Huber_global",0.0313460945154566
"24",24,1,"t","sgn(y0)*F","Huber_distr_dc",0.0324407222142836
"25",25,1,"lognorm","X1","ols_global",0.0577731339465421
"26",26,1,"lognorm","X1","Huber_global",0.0210246735849531
"27",27,1,"lognorm","X1","Huber_distr_dc",0.022530436858599
"28",28,1,"lognorm","sum(X)","ols_global",0.251037392094399
"29",29,1,"lognorm","sum(X)","Huber_global",0.0275783544180185
"30",30,1,"lognorm","sum(X)","Huber_distr_dc",0.0276892589837768
"31",31,1,"lognorm","unif[-|y0|,|y0|]","ols_global",0.079706256999577
"32",32,1,"lognorm","unif[-|y0|,|y0|]","Huber_global",0.0246489038060129
"33",33,1,"lognorm","unif[-|y0|,|y0|]","Huber_distr_dc",0.0289468280781881
"34",34,1,"lognorm","sgn(y0)*F","ols_global",0.062431457267216
"35",35,1,"lognorm","sgn(y0)*F","Huber_global",0.0265918548578578
"36",36,1,"lognorm","sgn(y0)*F","Huber_distr_dc",0.0273103975164788
"37",37,1,"pareto","X1","ols_global",1.44445211595349
"38",38,1,"pareto","X1","Huber_global",0.0246141022803067
"39",39,1,"pareto","X1","Huber_distr_dc",0.0346633563959726
"40",40,1,"pareto","sum(X)","ols_global",0.394571604722253
"41",41,1,"pareto","sum(X)","Huber_global",0.0240693100779341
"42",42,1,"pareto","sum(X)","Huber_distr_dc",0.0272992719509141
"43",43,1,"pareto","unif[-|y0|,|y0|]","ols_global",0.985773839323853
"44",44,1,"pareto","unif[-|y0|,|y0|]","Huber_global",0.019576447201401
"45",45,1,"pareto","unif[-|y0|,|y0|]","Huber_distr_dc",0.0245085383631122
"46",46,1,"pareto","sgn(y0)*F","ols_global",0.241187267211652
"47",47,1,"pareto","sgn(y0)*F","Huber_global",0.0164772012861342
"48",48,1,"pareto","sgn(y0)*F","Huber_distr_dc",0.0202219217530248
"49",49,2,"normal","X1","ols_global",0.0423609876677315
"50",50,2,"normal","X1","Huber_global",0.020991826291027
"51",51,2,"normal","X1","Huber_distr_dc",0.020886103968184
"52",52,2,"normal","sum(X)","ols_global",0.231226508029111
"53",53,2,"normal","sum(X)","Huber_global",0.0245817882229087
"54",54,2,"normal","sum(X)","Huber_distr_dc",0.0238050277192788
"55",55,2,"normal","unif[-|y0|,|y0|]","ols_global",0.0691199039537578
"56",56,2,"normal","unif[-|y0|,|y0|]","Huber_global",0.0296443533007098
"57",57,2,"normal","unif[-|y0|,|y0|]","Huber_distr_dc",0.0296545947258007
"58",58,2,"normal","sgn(y0)*F","ols_global",0.0330916704464846
"59",59,2,"normal","sgn(y0)*F","Huber_global",0.02675113797638
"60",60,2,"normal","sgn(y0)*F","Huber_distr_dc",0.0280469309828174
"61",61,2,"t","X1","ols_global",0.205487048730308
"62",62,2,"t","X1","Huber_global",0.0300949866863739
"63",63,2,"t","X1","Huber_distr_dc",0.0297702104480636
"64",64,2,"t","sum(X)","ols_global",0.847047633069076
"65",65,2,"t","sum(X)","Huber_global",0.0316249503859471
"66",66,2,"t","sum(X)","Huber_distr_dc",0.0317881944019537
"67",67,2,"t","unif[-|y0|,|y0|]","ols_global",0.235459382808926
"68",68,2,"t","unif[-|y0|,|y0|]","Huber_global",0.0309676079594439
"69",69,2,"t","unif[-|y0|,|y0|]","Huber_distr_dc",0.03052673787612
"70",70,2,"t","sgn(y0)*F","ols_global",0.132782261668338
"71",71,2,"t","sgn(y0)*F","Huber_global",0.0261167715505162
"72",72,2,"t","sgn(y0)*F","Huber_distr_dc",0.0268523093659921
"73",73,2,"lognorm","X1","ols_global",0.0570970381290468
"74",74,2,"lognorm","X1","Huber_global",0.0248553230298106
"75",75,2,"lognorm","X1","Huber_distr_dc",0.0290957945284608
"76",76,2,"lognorm","sum(X)","ols_global",0.279253641766801
"77",77,2,"lognorm","sum(X)","Huber_global",0.0241456958740779
"78",78,2,"lognorm","sum(X)","Huber_distr_dc",0.0240375742191563
"79",79,2,"lognorm","unif[-|y0|,|y0|]","ols_global",0.0821600662470601
"80",80,2,"lognorm","unif[-|y0|,|y0|]","Huber_global",0.0228412637575525
"81",81,2,"lognorm","unif[-|y0|,|y0|]","Huber_distr_dc",0.0284293378092886
"82",82,2,"lognorm","sgn(y0)*F","ols_global",0.060586283650112
"83",83,2,"lognorm","sgn(y0)*F","Huber_global",0.0256312708381084
"84",84,2,"lognorm","sgn(y0)*F","Huber_distr_dc",0.0301397929777674
"85",85,2,"pareto","X1","ols_global",0.205773511851859
"86",86,2,"pareto","X1","Huber_global",0.0221278951115257
"87",87,2,"pareto","X1","Huber_distr_dc",0.0273359189849794
"88",88,2,"pareto","sum(X)","ols_global",0.295714179712121
"89",89,2,"pareto","sum(X)","Huber_global",0.0173285878695896
"90",90,2,"pareto","sum(X)","Huber_distr_dc",0.0191791789952443
"91",91,2,"pareto","unif[-|y0|,|y0|]","ols_global",0.203185679233173
"92",92,2,"pareto","unif[-|y0|,|y0|]","Huber_global",0.0197726547963471
"93",93,2,"pareto","unif[-|y0|,|y0|]","Huber_distr_dc",0.0198875197767118
"94",94,2,"pareto","sgn(y0)*F","ols_global",0.38062072944499
"95",95,2,"pareto","sgn(y0)*F","Huber_global",0.0176865824615213
"96",96,2,"pareto","sgn(y0)*F","Huber_distr_dc",0.0203530145734852
"97",97,3,"normal","X1","ols_global",0.0343596813920778
"98",98,3,"normal","X1","Huber_global",0.023898767036964
"99",99,3,"normal","X1","Huber_distr_dc",0.0240868995710773
"100",100,3,"normal","sum(X)","ols_global",0.234020573965883
"101",101,3,"normal","sum(X)","Huber_global",0.0245579890848471
"102",102,3,"normal","sum(X)","Huber_distr_dc",0.0250469294658509
"103",103,3,"normal","unif[-|y0|,|y0|]","ols_global",0.0607552987285075
"104",104,3,"normal","unif[-|y0|,|y0|]","Huber_global",0.0261970962156184
"105",105,3,"normal","unif[-|y0|,|y0|]","Huber_distr_dc",0.0264060537646297
"106",106,3,"normal","sgn(y0)*F","ols_global",0.0323502483275044
