"","iteration","proportion","scale","type","err"
"1",1,0,1,"ols_global",0.250570225364625
"2",1,0,1,"Huber_global",0.034191895836418
"3",1,0,1,"Huber_distr_dc",0.034483795082544
"4",1,0,10,"ols_global",0.413829909356338
"5",1,0,10,"Huber_global",0.0240997768955894
"6",1,0,10,"Huber_distr_dc",0.0233581063178499
"7",1,0,100,"ols_global",0.20299077807051
"8",1,0,100,"Huber_global",0.0333051883621752
"9",1,0,100,"Huber_distr_dc",0.0331132666851843
"10",1,0.02,1,"ols_global",0.165475305542252
"11",1,0.02,1,"Huber_global",0.0395230402257277
"12",1,0.02,1,"Huber_distr_dc",0.039629290878225
"13",1,0.02,10,"ols_global",1.95696974587515
"14",1,0.02,10,"Huber_global",0.0430640312640344
"15",1,0.02,10,"Huber_distr_dc",0.043119845495776
"16",1,0.02,100,"ols_global",1.94880253963468
"17",1,0.02,100,"Huber_global",0.0371279982191428
"18",1,0.02,100,"Huber_distr_dc",0.0368861580575335
"19",1,0.04,1,"ols_global",0.252045760373266
"20",1,0.04,1,"Huber_global",0.0614186668295018
"21",1,0.04,1,"Huber_distr_dc",0.0617319577732289
"22",1,0.04,10,"ols_global",0.526868240694908
"23",1,0.04,10,"Huber_global",0.0642556946964183
"24",1,0.04,10,"Huber_distr_dc",0.0640627483591979
"25",1,0.04,100,"ols_global",4.18325907015165
"26",1,0.04,100,"Huber_global",0.0695519085853261
"27",1,0.04,100,"Huber_distr_dc",0.0693159168271767
"28",1,0.06,1,"ols_global",0.563348238050897
"29",1,0.06,1,"Huber_global",0.0800043181216943
"30",1,0.06,1,"Huber_distr_dc",0.0798316107103068
"31",1,0.06,10,"ols_global",1.01817824911614
"32",1,0.06,10,"Huber_global",0.0995837019637332
"33",1,0.06,10,"Huber_distr_dc",0.0987602401501486
"34",1,0.06,100,"ols_global",6.13511605175196
"35",1,0.06,100,"Huber_global",0.0959347835583556
"36",1,0.06,100,"Huber_distr_dc",0.0969816453958445
"37",1,0.08,1,"ols_global",0.390274957287753
"38",1,0.08,1,"Huber_global",0.111074412369118
"39",1,0.08,1,"Huber_distr_dc",0.110635795337276
"40",1,0.08,10,"ols_global",0.86911453106152
