"","iteration","n","type","err"
"1",1,500,"ols_global",0.0684538803836155
"2",1,500,"Huber_global",0.0276886765720816
"3",1,500,"Huber_distr_dc",0.0537886530444076
"4",1,1000,"ols_global",0.0658345753100238
"5",1,1000,"Huber_global",0.0233812563441981
"6",1,1000,"Huber_distr_dc",0.0239453489063163
"7",1,2500,"ols_global",0.0681515609881449
"8",1,2500,"Huber_global",0.0301076815329634
"9",1,2500,"Huber_distr_dc",0.03028608664425
"10",1,5000,"ols_global",0.0551801274965612
"11",1,5000,"Huber_global",0.0231881078519974
"12",1,5000,"Huber_distr_dc",0.0231390423831343
"13",1,10000,"ols_global",0.0696443454396164
"14",1,10000,"Huber_global",0.0285522841426557
"15",1,10000,"Huber_distr_dc",0.028563836667636
"16",2,500,"ols_global",0.0666238102679852
"17",2,500,"Huber_global",0.0200215249874434
"18",2,500,"Huber_distr_dc",0.0561556562330829
"19",2,1000,"ols_global",0.0667412539515904
"20",2,1000,"Huber_global",0.0231114821368997
"21",2,1000,"Huber_distr_dc",0.0282967120153834
"22",2,2500,"ols_global",0.0581544330791375
"23",2,2500,"Huber_global",0.0286647242827315
"24",2,2500,"Huber_distr_dc",0.0288252918325161
"25",2,5000,"ols_global",0.0609701126017692
"26",2,5000,"Huber_global",0.0249178366232936
"27",2,5000,"Huber_distr_dc",0.0248831464843597
"28",2,10000,"ols_global",0.0557788308571699
"29",2,10000,"Huber_global",0.0229879498207998
"30",2,10000,"Huber_distr_dc",0.0230157290720054
"31",3,500,"ols_global",0.0491219701619598
"32",3,500,"Huber_global",0.0232496102604861
"33",3,500,"Huber_distr_dc",0.0359881670612736
"34",3,1000,"ols_global",0.0595985669243669
"35",3,1000,"Huber_global",0.0232626368079529
"36",3,1000,"Huber_distr_dc",0.0279674497241131
"37",3,2500,"ols_global",0.0633707657047018
"38",3,2500,"Huber_global",0.0253132311045781
"39",3,2500,"Huber_distr_dc",0.0253522409168325
"40",3,5000,"ols_global",0.0593219510810557
"41",3,5000,"Huber_global",0.0206088227934747
"42",3,5000,"Huber_distr_dc",0.0205623651543461
"43",3,10000,"ols_global",0.0561442757218474
"44",3,10000,"Huber_global",0.0247888966296433
"45",3,10000,"Huber_distr_dc",0.0247778614422537
"46",4,500,"ols_global",0.0461916078815331
"47",4,500,"Huber_global",0.0218242454432267
"48",4,500,"Huber_distr_dc",0.0429201185536752
